team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Punjab Kings,221,Rajasthan Royals,217,Indian Premier League4,2021-04-12,"Wankhede Stadium, Mumbai",Punjab Kings,4.0,46,59,Rajasthan Royals,field
Mumbai Indians,152,Kolkata Knight Riders,142,Indian Premier League5,2021-04-13,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,5.0,42,45,Kolkata Knight Riders,field
Royal Challengers Bangalore,149,Sunrisers Hyderabad,143,Indian Premier League6,2021-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,6.0,47,50,Sunrisers Hyderabad,field
Delhi Capitals,147,Rajasthan Royals,150,Indian Premier League7,2021-04-15,"Wankhede Stadium, Mumbai",Rajasthan Royals,7.0,36,26,Rajasthan Royals,field
Punjab Kings,106,Chennai Super Kings,107,Indian Premier League8,2021-04-16,"Wankhede Stadium, Mumbai",Chennai Super Kings,8.0,26,32,Chennai Super Kings,field
Mumbai Indians,150,Sunrisers Hyderabad,137,Indian Premier League9,2021-04-17,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,9.0,53,57,Mumbai Indians,bat
Royal Challengers Bangalore,204,Kolkata Knight Riders,166,Indian Premier League10,2021-04-18,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,10.0,45,57,Royal Challengers Bangalore,bat
Punjab Kings,195,Delhi Capitals,198,Indian Premier League11,2021-04-18,"Wankhede Stadium, Mumbai",Delhi Capitals,11.0,59,62,Delhi Capitals,field
Chennai Super Kings,188,Rajasthan Royals,143,Indian Premier League12,2021-04-19,"Wankhede Stadium, Mumbai",Chennai Super Kings,12.0,46,45,Rajasthan Royals,field
Mumbai Indians,137,Delhi Capitals,138,Indian Premier League13,2021-04-20,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,13.0,55,39,Mumbai Indians,bat
Punjab Kings,120,Sunrisers Hyderabad,121,Indian Premier League14,2021-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,14.0,32,50,Punjab Kings,bat
Chennai Super Kings,220,Kolkata Knight Riders,202,Indian Premier League15,2021-04-21,"Wankhede Stadium, Mumbai",Chennai Super Kings,15.0,54,45,Kolkata Knight Riders,field
Rajasthan Royals,177,Royal Challengers Bangalore,181,Indian Premier League16,2021-04-22,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,16.0,32,59,Royal Challengers Bangalore,field
Mumbai Indians,131,Punjab Kings,132,Indian Premier League17,2021-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,17.0,21,45,Punjab Kings,field
Kolkata Knight Riders,133,Rajasthan Royals,134,Indian Premier League18,2021-04-24,"Wankhede Stadium, Mumbai",Rajasthan Royals,18.0,25,50,Rajasthan Royals,field
Chennai Super Kings,191,Royal Challengers Bangalore,122,Indian Premier League19,2021-04-25,"Wankhede Stadium, Mumbai",Chennai Super Kings,19.0,51,65,Chennai Super Kings,bat
Delhi Capitals,159,Sunrisers Hyderabad,159,Indian Premier League20,2021-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,20.0,51,56,Delhi Capitals,bat
Punjab Kings,123,Kolkata Knight Riders,126,Indian Premier League21,2021-04-26,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,21.0,37,42,Kolkata Knight Riders,field
Royal Challengers Bangalore,171,Delhi Capitals,170,Indian Premier League22,2021-04-27,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,22.0,36,43,Delhi Capitals,field
Sunrisers Hyderabad,171,Chennai Super Kings,173,Indian Premier League23,2021-04-28,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,23.0,39,50,Sunrisers Hyderabad,bat
Rajasthan Royals,171,Mumbai Indians,172,Indian Premier League24,2021-04-29,"Arun Jaitley Stadium, Delhi",Mumbai Indians,24.0,47,49,Mumbai Indians,field
Kolkata Knight Riders,154,Delhi Capitals,156,Indian Premier League25,2021-04-29,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,25.0,45,67,Delhi Capitals,field
Punjab Kings,179,Royal Challengers Bangalore,145,Indian Premier League26,2021-04-30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,26.0,49,36,Royal Challengers Bangalore,field
Chennai Super Kings,218,Mumbai Indians,219,Indian Premier League27,2021-05-01,"Arun Jaitley Stadium, Delhi",Mumbai Indians,27.0,49,58,Mumbai Indians,field
Rajasthan Royals,220,Sunrisers Hyderabad,165,Indian Premier League28,2021-05-02,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,28.0,42,57,Sunrisers Hyderabad,field
Punjab Kings,166,Delhi Capitals,167,Indian Premier League29,2021-05-02,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,29.0,39,63,Delhi Capitals,field
Chennai Super Kings,156,Mumbai Indians,136,Indian Premier League30,2021-09-19,Dubai International Cricket Stadium,Chennai Super Kings,30.0,24,41,Chennai Super Kings,bat
Royal Challengers Bangalore,92,Kolkata Knight Riders,94,Indian Premier League31,2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,31.0,41,56,Royal Challengers Bangalore,bat
Rajasthan Royals,185,Punjab Kings,183,Indian Premier League32,2021-09-21,Dubai International Cricket Stadium,Rajasthan Royals,32.0,57,49,Punjab Kings,field
Sunrisers Hyderabad,134,Delhi Capitals,139,Indian Premier League33,2021-09-22,Dubai International Cricket Stadium,Delhi Capitals,33.0,32,39,Sunrisers Hyderabad,bat
Mumbai Indians,155,Kolkata Knight Riders,159,Indian Premier League34,2021-09-23,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,34.0,56,63,Kolkata Knight Riders,field
Royal Challengers Bangalore,156,Chennai Super Kings,157,Indian Premier League35,2021-09-24,Sharjah Cricket Stadium,Chennai Super Kings,35.0,55,59,Chennai Super Kings,field
Delhi Capitals,154,Rajasthan Royals,121,Indian Premier League36,2021-09-25,"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals,36.0,36,21,Rajasthan Royals,field
Punjab Kings,125,Sunrisers Hyderabad,120,Indian Premier League37,2021-09-25,Sharjah Cricket Stadium,Punjab Kings,37.0,29,20,Sunrisers Hyderabad,field
Kolkata Knight Riders,171,Chennai Super Kings,172,Indian Premier League38,2021-09-26,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,38.0,50,52,Kolkata Knight Riders,bat
Royal Challengers Bangalore,165,Mumbai Indians,111,Indian Premier League39,2021-09-26,Dubai International Cricket Stadium,Royal Challengers Bangalore,39.0,48,56,Mumbai Indians,field
Rajasthan Royals,164,Sunrisers Hyderabad,167,Indian Premier League40,2021-09-27,Dubai International Cricket Stadium,Sunrisers Hyderabad,40.0,49,63,Rajasthan Royals,bat
Delhi Capitals,127,Kolkata Knight Riders,130,Indian Premier League41,2021-09-28,Sharjah Cricket Stadium,Kolkata Knight Riders,41.0,39,44,Kolkata Knight Riders,field
Punjab Kings,135,Mumbai Indians,137,Indian Premier League42,2021-09-28,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,42.0,38,30,Mumbai Indians,field
Rajasthan Royals,149,Royal Challengers Bangalore,153,Indian Premier League43,2021-09-29,Dubai International Cricket Stadium,Royal Challengers Bangalore,43.0,56,54,Royal Challengers Bangalore,field
Sunrisers Hyderabad,134,Chennai Super Kings,139,Indian Premier League44,2021-09-30,Sharjah Cricket Stadium,Chennai Super Kings,44.0,41,47,Chennai Super Kings,field
Kolkata Knight Riders,165,Punjab Kings,168,Indian Premier League45,2021-10-01,Dubai International Cricket Stadium,Punjab Kings,45.0,48,46,Punjab Kings,field
Chennai Super Kings,189,Rajasthan Royals,190,Indian Premier League47,2021-10-02,"Zayed Cricket Stadium, Abu Dhabi",Rajasthan Royals,47.0,44,81,Rajasthan Royals,field
Mumbai Indians,129,Delhi Capitals,132,Indian Premier League46,2021-10-02,Sharjah Cricket Stadium,Delhi Capitals,46.0,35,46,Delhi Capitals,field
Royal Challengers Bangalore,164,Punjab Kings,158,Indian Premier League48,2021-10-03,Sharjah Cricket Stadium,Royal Challengers Bangalore,48.0,55,49,Royal Challengers Bangalore,bat
Sunrisers Hyderabad,115,Kolkata Knight Riders,119,Indian Premier League49,2021-10-03,Dubai International Cricket Stadium,Kolkata Knight Riders,49.0,35,36,Sunrisers Hyderabad,bat
Chennai Super Kings,136,Delhi Capitals,139,Indian Premier League50,2021-10-04,Dubai International Cricket Stadium,Delhi Capitals,50.0,48,51,Delhi Capitals,field
Rajasthan Royals,90,Mumbai Indians,94,Indian Premier League51,2021-10-05,Sharjah Cricket Stadium,Mumbai Indians,51.0,41,56,Mumbai Indians,field
Sunrisers Hyderabad,141,Royal Challengers Bangalore,137,Indian Premier League52,2021-10-06,"Zayed Cricket Stadium, Abu Dhabi",Sunrisers Hyderabad,52.0,50,37,Royal Challengers Bangalore,field
Chennai Super Kings,134,Punjab Kings,139,Indian Premier League53,2021-10-07,Dubai International Cricket Stadium,Punjab Kings,53.0,30,51,Punjab Kings,field
Kolkata Knight Riders,171,Rajasthan Royals,85,Indian Premier League54,2021-10-07,Sharjah Cricket Stadium,Kolkata Knight Riders,54.0,34,17,Rajasthan Royals,field
Mumbai Indians,235,Sunrisers Hyderabad,193,Indian Premier League55,2021-10-08,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,55.0,83,70,Mumbai Indians,bat
Delhi Capitals,164,Royal Challengers Bangalore,166,Indian Premier League56,2021-10-08,Dubai International Cricket Stadium,Royal Challengers Bangalore,56.0,55,29,Royal Challengers Bangalore,field
Delhi Capitals,172,Chennai Super Kings,173,Qualifier 1,2021-10-10,Dubai International Cricket Stadium,Chennai Super Kings,,51,59,Chennai Super Kings,field
Royal Challengers Bangalore,138,Kolkata Knight Riders,139,Eliminator,2021-10-11,Sharjah Cricket Stadium,Kolkata Knight Riders,,53,48,Royal Challengers Bangalore,bat
Delhi Capitals,135,Kolkata Knight Riders,136,Qualifier 2,2021-10-13,Sharjah Cricket Stadium,Kolkata Knight Riders,,38,51,Kolkata Knight Riders,field
Chennai Super Kings,192,Kolkata Knight Riders,165,Final,2021-10-15,Dubai International Cricket Stadium,Chennai Super Kings,,50,55,Kolkata Knight Riders,field
Chennai Super Kings,131,Kolkata Knight Riders,133,Indian Premier League1,2022-03-26,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,1.0,35,43,Kolkata Knight Riders,field
Mumbai Indians,177,Delhi Capitals,179,Indian Premier League2,2022-03-27,"Brabourne Stadium, Mumbai",Delhi Capitals,2.0,53,46,Delhi Capitals,field
Royal Challengers Bangalore,205,Punjab Kings,208,Indian Premier League3,2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,3.0,41,63,Punjab Kings,field
Lucknow Super Giants,158,Gujarat Titans,161,Indian Premier League4,2022-03-28,"Wankhede Stadium, Mumbai",Gujarat Titans,4.0,32,44,Gujarat Titans,field
Rajasthan Royals,210,Sunrisers Hyderabad,149,Indian Premier League5,2022-03-29,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,5.0,58,14,Sunrisers Hyderabad,field
Kolkata Knight Riders,128,Royal Challengers Bangalore,132,Indian Premier League6,2022-03-30,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,6.0,44,36,Royal Challengers Bangalore,field
Chennai Super Kings,210,Lucknow Super Giants,211,Indian Premier League7,2022-03-31,"Brabourne Stadium, Mumbai",Lucknow Super Giants,7.0,73,55,Lucknow Super Giants,field
Punjab Kings,137,Kolkata Knight Riders,141,Indian Premier League8,2022-04-01,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,8.0,62,51,Kolkata Knight Riders,field
Rajasthan Royals,193,Mumbai Indians,170,Indian Premier League9,2022-04-02,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,9.0,48,50,Mumbai Indians,field
Gujarat Titans,171,Delhi Capitals,157,Indian Premier League10,2022-04-02,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,10.0,44,43,Delhi Capitals,field
Punjab Kings,180,Chennai Super Kings,126,Indian Premier League11,2022-04-03,"Brabourne Stadium, Mumbai",Punjab Kings,11.0,72,27,Chennai Super Kings,field
Lucknow Super Giants,169,Sunrisers Hyderabad,157,Indian Premier League12,2022-04-04,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,12.0,32,40,Sunrisers Hyderabad,field
Rajasthan Royals,169,Royal Challengers Bangalore,173,Indian Premier League13,2022-04-05,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,13.0,35,48,Royal Challengers Bangalore,field
Mumbai Indians,161,Kolkata Knight Riders,162,Indian Premier League14,2022-04-06,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,14.0,35,35,Kolkata Knight Riders,field
Delhi Capitals,149,Lucknow Super Giants,155,Indian Premier League15,2022-04-07,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,15.0,52,48,Lucknow Super Giants,field
Punjab Kings,189,Gujarat Titans,190,Indian Premier League16,2022-04-08,"Brabourne Stadium, Mumbai",Gujarat Titans,16.0,43,53,Gujarat Titans,field
Chennai Super Kings,154,Sunrisers Hyderabad,155,Indian Premier League17,2022-04-09,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,17.0,41,37,Sunrisers Hyderabad,field
Mumbai Indians,151,Royal Challengers Bangalore,152,Indian Premier League18,2022-04-09,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,18.0,49,30,Royal Challengers Bangalore,field
Delhi Capitals,215,Kolkata Knight Riders,171,Indian Premier League19,2022-04-10,"Brabourne Stadium, Mumbai",Delhi Capitals,19.0,68,43,Kolkata Knight Riders,field
Rajasthan Royals,165,Lucknow Super Giants,162,Indian Premier League20,2022-04-10,"Wankhede Stadium, Mumbai",Rajasthan Royals,20.0,44,31,Lucknow Super Giants,field
Gujarat Titans,162,Sunrisers Hyderabad,168,Indian Premier League21,2022-04-11,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,21.0,51,42,Sunrisers Hyderabad,field
